title,author,poembr
东城高且长,佚名〔两汉〕,东城高且长，逶迤自相属.<br>回风动地起，秋草萋已绿.<br>四时更变化，岁暮一何速！晨风怀苦心，蟋蟀伤局促.<br>荡涤放情志，何为自结束！燕赵多佳人，美者颜如玉.<br>被服罗裳衣，当户理清曲.<br>音响一何悲！弦急知柱促.<br>驰情整巾带，沉吟聊踯躅.<br>思为双飞燕，衔泥巢君屋。
行行重行行,佚名〔两汉〕,行行重行行，与君生别离.<br>相去万余里，各在天一涯.<br>道路阻且长，会面安可知？胡马依北风，越鸟巢南枝.<br>相去日已远，衣带日已缓.<br>浮云蔽白日，游子不顾反.<br>思君令人老，岁月忽已晚.<br>弃捐勿复道，努力加餐饭。
涉江采芙蓉,佚名〔两汉〕,涉江采芙蓉，兰泽多芳草.<br>采之欲遗谁？所思在远道.<br>还顾望旧乡，长路漫浩浩.<br>同心而离居，忧伤以终老。
迢迢牵牛星,佚名〔两汉〕,迢迢牵牛星，皎皎河汉女.<br>纤纤擢素手，札札弄机杼.<br>终日不成章，泣涕零如雨.<br>河汉清且浅，相去复几许.<br>盈盈一水间，脉脉不得语。
回车驾言迈,佚名〔两汉〕,回车驾言迈，悠悠涉长道.<br>四顾何茫茫，东风摇百草.<br>所遇无故物，焉得不速老.<br>盛衰各有时，立身苦不早.<br>人生非金石，岂能长寿考？奄忽随物化，荣名以为宝。
客从远方来,佚名〔两汉〕,客从远方来，遗我一端绮.<br>相去万余里，故人心尚尔.<br>文采双鸳鸯，裁为合欢被.<br>著以长相思，缘以结不解.<br>以胶投漆中，谁能别离此？
凛凛岁云暮,佚名〔两汉〕,凛凛岁云暮，蝼蛄夕鸣悲.<br>凉风率已厉，游子寒无衣.<br>锦衾遗洛浦，同袍与我违.<br>独宿累长夜，梦想见容辉.<br>良人惟古欢，枉驾惠前绥.<br>愿得常巧笑，携手同车归.<br>既来不须臾，又不处重闱.<br>亮无晨风翼，焉能凌风飞？眄睐以适意，引领遥相睎.<br>徙倚怀感伤，垂涕沾双扉。
桓灵时童谣,佚名〔两汉〕,举秀才，不知书.<br>察孝廉，父别居.<br>寒素清白浊如泥，高第良将怯如鸡。
龟虽寿,曹操〔两汉〕,神龟虽寿，犹有竟时；腾蛇乘雾，终为土灰.<br>老骥伏枥，志在千里；烈士暮年，壮心不已.<br>盈缩之期，不但在天；养怡之福，可得永年.<br>幸甚至哉，歌以咏志。
蒿里行,曹操〔两汉〕,关东有义士，兴兵讨群凶.<br>初期会盟津，乃心在咸阳.<br>军合力不齐，踌躇而雁行.<br>势利使人争，嗣还自相戕.<br>淮南弟称号，刻玺于北方.<br>铠甲生虮虱，万姓以死亡.<br>白骨露于野，千里无鸡鸣.<br>生民百遗一，念之断人肠。
观沧海,曹操〔两汉〕,东临碣石，以观沧海.<br>水何澹澹，山岛竦峙.<br>树木丛生，百草丰茂.<br>秋风萧瑟，洪波涌起.<br>日月之行，若出其中；星汉灿烂，若出其里.<br>幸甚至哉，歌以咏志。
短歌行,曹操〔两汉〕,对酒当歌，人生几何！譬如朝露，去日苦多.<br>慨当以慷，忧思难忘.<br>何以解忧？唯有杜康.<br>青青子衿，悠悠我心.<br>但为君故，沉吟至今.<br>呦呦鹿鸣，食野之苹.<br>我有嘉宾，鼓瑟吹笙.<br>明明如月，何时可掇？忧从中来，不可断绝.<br>越陌度阡，枉用相存.<br>契阔谈讌，心念旧恩.<br>月明星稀，乌鹊南飞.<br>绕树三匝，何枝可依？山不厌高，海不厌深.<br>周公吐哺，天下归心。
赠从弟·其二,东汉·刘桢〔两汉〕,亭亭山上松，瑟瑟谷中风.<br>风声一何盛，松枝一何劲！冰霜正惨凄，终岁常端正.<br>岂不罹凝寒？松柏有本性。
室思,徐干〔魏晋〕,沉阴结愁忧，愁忧为谁兴？念与君相别，各在天一方.<br>良会未有期，中心摧且伤.<br>不聊忧餐食，慊慊常饥空.<br>端坐而无为，仿佛君容光.<br>峨峨高山首，悠悠万里道.<br>君去日已远，郁结令人老.<br>人生一世间，忽若暮春草.<br>时不可再得，何为自愁恼？每诵昔鸿恩，贱躯焉足保.<br>浮云何洋洋，愿因通我辞.<br>飘摇不可寄，徙倚徒相思.<br>人离皆复会，君独无返期.<br>自君之出矣，明镜暗不治.<br>思君如流水，何有穷已时.<br>惨惨时节尽，兰华凋复零.<br>喟然长叹息，君期慰我情.<br>辗转不能寐，长夜何绵绵.<br>蹑履起出户，仰观三星连.<br>自恨志不遂，泣涕如涌泉.<br>思君见巾栉，以益我劳勤.<br>安得鸿鸾羽，觏此心中人.<br>诚心亮不遂，搔首立悁悁.<br>何言一不见，复会无因缘.<br>故如比目鱼，今隔如参辰.<br>人靡不有初，想君能终之.<br>别来历年岁，旧恩何可期.<br>重新而忘故，君子所尤讥.<br>寄身虽在远，岂忘君须臾.<br>既厚不为薄，想君时见思。
燕歌行二首·其一,曹丕〔魏晋〕,秋风萧瑟天气凉，草木摇落露为霜，群燕辞归鹄南翔.<br>念君客游思断肠，慊慊思归恋故乡，何为淹留寄他方.<br>(思断肠 一作：多断肠；何为 一作：君何）贱妾茕茕守空房，忧来思君不敢忘，不觉泪下沾衣裳.<br>援琴鸣弦发清商，短歌微吟不能长.<br>明月皎皎照我床，星汉西流夜未央.<br>牵牛织女遥相望，尔独何辜限河梁。
白马篇,曹植〔两汉〕,白马饰金羁，连翩西北驰.<br>借问谁家子，幽并游侠儿.<br>少小去乡邑，扬声沙漠垂.<br>宿昔秉良弓，楛矢何参差.<br>控弦破左的，右发摧月支.<br>仰手接飞猱，俯身散马蹄.<br>狡捷过猴猿，勇剽若豹螭.<br>边城多警急，虏骑数迁移.<br>羽檄从北来，厉马登高堤.<br>长驱蹈匈奴，左顾凌鲜卑.<br>弃身锋刃端，性命安可怀？父母且不顾，何言子与妻！名编壮士籍，不得中顾私.<br>捐躯赴国难，视死忽如归！
七步诗,曹植〔两汉〕,煮豆持作羹，漉菽以为汁.<br>萁在釜下燃，豆在釜中泣.<br>本自同根生，相煎何太急？ 
杂诗七首·其四,曹植〔两汉〕,南国有佳人，容华若桃李.<br>朝游江北岸，夕宿潇湘沚.<br>时俗薄朱颜，谁为发皓齿？俯仰岁将暮，荣耀难久恃。
七哀诗三首·其一,王粲〔两汉〕,西京乱无象，豺虎方遘患.<br>复弃中国去，委身适荆蛮.<br>亲戚对我悲，朋友相追攀.<br>出门无所见，白骨蔽平原.<br>路有饥妇人，抱子弃草间.<br>顾闻号泣声，挥涕独不还.<br>未知身死处，何能两相完？驱马弃之去，不忍听此言.<br>南登霸陵岸，回首望长安，悟彼下泉人，喟然伤心肝。
四言赠兄秀才入军诗十八首·其十四,嵇康〔魏晋〕,息徒兰圃，秣马华山.<br>流磻平皋，垂纶长川.<br>目送归鸿，手挥五弦.<br>俯仰自得，游心太玄.<br>嘉彼钓叟，得鱼忘筌.<br>郢人逝矣，谁与尽言？
咏怀八十二首·其一,阮籍〔魏晋〕,夜中不能寐，起坐弹鸣琴.<br>薄帷鉴明月，清风吹我襟.<br>孤鸿号外野，翔鸟鸣北林.<br>徘徊将何见？忧思独伤心。
吴孙皓初童谣,佚名〔魏晋〕,宁饮建业水，不食武昌鱼.<br>宁还建业死，不止武昌居。
咏史,左思〔魏晋〕,郁郁涧底松，离离山上苗.<br>以彼径寸茎，荫此百尺条.<br>世胄蹑高位，英俊沉下僚.<br>地势使之然，由来非一朝.<br>金张藉旧业，七叶珥汉貂.<br>冯公岂不伟，白首不见招。
思吴江歌,张翰〔魏晋〕,秋风起兮木叶飞，吴江水兮鲈正肥.<br>三千里兮家未归，恨难禁兮仰天悲。
归园田居·其一,陶渊明〔魏晋〕,少无适俗韵，性本爱丘山.<br>误落尘网中，一去三十年.<br>羁鸟恋旧林，池鱼思故渊.<br>开荒南野际，守拙归园田.<br>方宅十余亩，草屋八九间.<br>榆柳荫后檐，桃李罗堂前.<br>暧暧远人村，依依墟里烟.<br>狗吠深巷中，鸡鸣桑树颠.<br>户庭无尘杂，虚室有余闲.<br>久在樊笼里，复得返自然。
归园田居·其三,陶渊明〔魏晋〕,种豆南山下，草盛豆苗稀.<br>晨兴理荒秽，带月荷锄归.<br>道狭草木长，夕露沾我衣.<br>衣沾不足惜，但使愿无违。
饮酒·其五,陶渊明〔魏晋〕,结庐在人境，而无车马喧.<br>问君何能尔？心远地自偏.<br>采菊东篱下，悠然见南山.<br>山气日夕佳，飞鸟相与还.<br>此中有真意，欲辨已忘言。
咏荆轲,陶渊明〔魏晋〕,燕丹善养士，志在报强嬴.<br>招集百夫良，岁暮得荆卿.<br>君子死知己，提剑出燕京；素骥鸣广陌，慷慨送我行.<br>雄发指危冠，猛气冲长缨.<br>饮饯易水上，四座列群英.<br>渐离击悲筑，宋意唱高声.<br>萧萧哀风逝，澹澹寒波生.<br>商音更流涕，羽奏壮士惊.<br>心知去不归，且有后世名.<br>登车何时顾，飞盖入秦庭.<br>凌厉越万里，逶迤过千城.<br>图穷事自至，豪主正怔营.<br>惜哉剑术疏，奇功遂不成.<br>其人虽已没，千载有馀情。
读山海经·其一,陶渊明〔魏晋〕,孟夏草木长，绕屋树扶疏.<br>众鸟欣有托，吾亦爱吾庐.<br>既耕亦已种，时还读我书.<br>穷巷隔深辙，颇回故人车.<br>欢然酌春酒，摘我园中蔬.<br>微雨从东来，好风与之俱.<br>泛览周王传，流观山海图.<br>俯仰终宇宙，不乐复何如？
读山海经十三首·其十,陶渊明〔魏晋〕,精卫衔微木，将以填沧海.<br>刑天舞干戚，猛志固常在.<br>同物既无虑，化去不复悔.<br>徒设在昔心，良辰讵可待。
杂诗十二首·其一,陶渊明〔魏晋〕,人生无根蒂，飘如陌上尘.<br>分散逐风转，此已非常身.<br>落地为兄弟，何必骨肉亲！得欢当作乐，斗酒聚比邻.<br>盛年不重来，一日难再晨.<br>及时当勉励，岁月不待人。
酌贪泉,吴隐之〔魏晋〕,古人云此水，一歃怀千金.<br>试使夷齐饮，终当不易心。
登江中孤屿,谢灵运〔南北朝〕,江南倦历览，江北旷周旋.<br>怀新道转迥，寻异景不延.<br>乱流趋正绝，孤屿媚中川.<br>云日相辉映，空水共澄鲜.<br>表灵物莫赏，蕴真谁为传.<br>想象昆山姿，缅邈区中缘.<br>始信安期术，得尽养生年。
拟行路难·其四,鲍照〔南北朝〕,泻水置平地，各自东西南北流.<br>人生亦有命，安能行叹复坐愁？酌酒以自宽，举杯断绝歌路难.<br>心非木石岂无感，吞声踯躅不敢言。
拟行路难·其六,鲍照〔南北朝〕,对案不能食，拔剑击柱长叹息.<br>丈夫生世会几时？安能蹀躞垂羽翼！弃置罢官去，还家自休息.<br>朝出与亲辞，暮还在亲侧.<br>弄儿床前戏，看妇机中织.<br>自古圣贤尽贫贱，何况我辈孤且直！
梅花落·中庭杂树多,鲍照〔南北朝〕,中庭杂树多，偏为梅咨嗟.<br>问君何独然？念其霜中能作花，露中能作实.<br>摇荡春风媚春日，念尔零落逐寒风，徒有霜华无霜质。
赠范晔诗,陆凯〔南北朝〕,折花逢驿使，寄与陇头人.<br>江南无所有，聊赠一枝春。
晚登三山还望京邑,谢朓〔南北朝〕,灞涘望长安，河阳视京县.<br>白日丽飞甍，参差皆可见.<br>馀霞散成绮，澄江静如练.<br>喧鸟覆春洲，杂英满芳甸.<br>去矣方滞淫，怀哉罢欢宴.<br>佳期怅何许，泪下如流霰.<br>有情知望乡，谁能鬒不变？
王孙游,谢朓〔南北朝〕,绿草蔓如丝，杂树红英发.<br>无论君不归，君归芳已歇。
之零陵郡次新亭,范云〔南北朝〕,江干远树浮，天末孤烟起.<br>江天自如合，烟树还相似.<br>沧流未可源，高帆去何已。
估客乐四首,释宝月〔南北朝〕,郎作十里行，侬作九里送.<br>拔侬头上钗，与郎资路用.<br>有信数寄书，无信心相忆.<br>莫作瓶落井，一去无消息.<br>大艑珂峨头，何处发扬州.<br>借问艑上郎，见侬所欢不？ 初发扬州时，船出平津泊.<br>五两如竹林，何处相寻博。
夜夜曲,沈约〔南北朝〕,河汉纵且横，北斗横复直.<br>星汉空如此，宁知心有忆？孤灯暧不明，寒机晓犹织.<br>零泪向谁道，鸡鸣徒叹息。
咏早梅,何逊〔南北朝〕,兔园标物序，惊时最是梅.<br>衔霜当路发，映雪拟寒开.<br>枝横却月观，花绕凌风台.<br>朝洒长门泣，夕驻临邛杯.<br>应知早飘落，故逐上春来。
边城思,何逊〔南北朝〕,柳黄未吐叶，水绿半含苔.<br>春色边城动，客思故乡来。
山中杂诗,吴均〔南北朝〕,山际见来烟，竹中窥落日.<br>鸟向檐上飞，云从窗里出。
诏问山中何所有赋诗以答,陶弘景〔南北朝〕,山中何所有，岭上多白云.<br>只可自怡悦，不堪持赠君。
