title,author,poembr
赠刘景文,苏轼〔宋代〕,荷尽已无擎雨盖，菊残犹有傲霜枝.<br>一年好景君须记，最是橙黄橘绿时。
海棠,苏轼〔宋代〕,东风袅袅泛崇光，香雾空蒙月转廊.<br>只恐夜深花睡去，故烧高烛照红妆。
禾熟,孔平仲〔宋代〕,百里西风禾黍香，鸣泉落窦谷登场.<br>老牛粗了耕耘债，啮草坡头卧夕阳。
寄内,孔平仲〔宋代〕,试说途中景，方知别后心.<br>行人日暮少，风雪乱山深。
牧童诗,黄庭坚〔宋代〕,骑牛远远过前村，短笛横吹隔陇闻.<br>多少长安名利客，机关用尽不如君。
登快阁,黄庭坚〔宋代〕,痴儿了却公家事，快阁东西倚晚晴.<br>落木千山天远大，澄江一道月分明.<br>朱弦已为佳人绝，青眼聊因美酒横.<br>万里归船弄长笛，此心吾与白鸥盟。
鄂州南楼书事,黄庭坚〔宋代〕,四顾山光接水光，凭栏十里芰荷香.<br>清风明月无人管，并作南楼一味凉。
雨中登岳阳楼望君山,黄庭坚〔宋代〕,投荒万死鬓毛斑，生入瞿塘滟滪关.<br>未到江南先一笑，岳阳楼上对君山.<br>满川风雨独凭栏，绾结湘娥十二鬟.<br>可惜不当湖水面，银山堆里看青山。
临平道中,道潜〔宋代〕,风蒲猎猎弄清柔，欲立蜻蜓不自由.<br>五月临平山下路，藕花无数满汀洲。
春日,晁冲之〔宋代〕,阴阴溪曲绿交加，小雨翻萍上浅沙.<br>鹅鸭不知春去尽，争随流水趁桃花。
春日,张耒〔宋代〕,如丝苣甲饤春盘，韭叶金黄雪未干.<br>旅饭二年无此味，故园千里几时还.<br>异方时节三巵酒，残岁风烟一惨颜.<br>曾奉龙旗典邦礼，岁穷祠祀少休闲。
夜坐,张耒〔宋代〕,庭户无人秋月明，夜霜欲落气先清.<br>梧桐真不甘衰谢，数叶迎风尚有声。
纳凉,秦观〔宋代〕,携杖来追柳外凉，画桥南畔倚胡床.<br>月明船笛参差起，风定池莲自在香。
春日五首·其二,秦观〔宋代〕,一夕轻雷落万丝，霁光浮瓦碧参差.<br>有情芍药含春泪，无力蔷薇卧晓枝。
还自广陵,秦观〔宋代〕,天寒水鸟自相依，十百为群戏落晖.<br>过尽行人都不起，忽闻水响一齐飞。
春怀示邻里,陈师道〔宋代〕,断墙著雨蜗成字，老屋无僧燕作家.<br>剩欲出门追语笑，却嫌归鬓著尘沙.<br>风翻蛛网开三面，雷动蜂窠趁两衙.<br>屡失南邻春事约，只今容有未开花。
示三子,陈师道〔宋代〕,时三子已归自外家 去远即相忘，归近不可忍.<br>儿女已在眼，眉目略不省.<br>喜极不得语，泪尽方一哂.<br>了知不是梦，忽忽心未稳。
春游湖,徐俯〔宋代〕,双飞燕子几时回？夹岸桃花蘸水开.<br>春雨断桥人不渡，小舟撑出柳阴来。
绝句,吴涛〔宋代〕,游子春衫已试单，桃花飞尽野梅酸.<br>怪来一夜蛙声歇，又作东风十日寒。
连州阳山归路三绝·其二,吕本中〔宋代〕,稍离烟瘴近湘潭，疾病衰颓已不堪.<br>儿女不知来避地，强言风物胜江南。
自责二首,朱淑真〔宋代〕,女子弄文诚可罪，那堪咏月更吟风.<br>磨穿铁砚非吾事，绣折金针却有功.<br>闷无消遣只看诗，不见诗中话别离.<br>添得情怀转萧索，始知伶俐不如痴。
落花,朱淑真〔宋代〕,连理枝头花正开，妒花风雨便相催.<br>愿教青帝常为主，莫遣纷纷点翠苔。
春日,汪藻〔宋代〕,一春略无十日晴，处处浮云将雨行.<br>野田春水碧于镜，人影渡傍鸥不惊.<br>桃花嫣然出篱笑，似开未开最有情.<br>茅茨烟暝客衣湿，破梦午鸡啼一声。
汴京纪事,刘子翚〔宋代〕,辇毂繁华事可伤，师师垂老过湖湘.<br>缕衣檀板无颜色，一曲当时动帝王。
夏日绝句,李清照〔宋代〕,生当作人杰，死亦为鬼雄.<br>至今思项羽，不肯过江东。
苏秀道中,曾几〔宋代〕,苏秀道中，自七月二十五日夜大雨三日，秋苗以苏，喜而有作.<br>一夕骄阳转作霖，梦回凉冷润衣襟.<br>不愁屋漏床床湿，且喜溪流岸岸深.<br>千里稻花应秀色，五更桐叶最佳音.<br>无田似我犹欣舞，何况田间望岁心。
三衢道中,曾几〔宋代〕,梅子黄时日日晴，小溪泛尽却山行.<br>绿阴不减来时路，添得黄鹂四五声。
病牛,李纲〔宋代〕,耕犁千亩实千箱，力尽筋疲谁复伤？但得众生皆得饱，不辞羸病卧残阳。
襄邑道中,陈与义〔宋代〕,飞花两岸照船红，百里榆堤半日风.<br>卧看满天云不动，不知云与我俱东。
雨晴,陈与义〔宋代〕,天缺西南江面清，纤云不动小滩横.<br>墙头语鹊衣犹湿，楼外残雷气未平.<br>尽取微凉供稳睡，急搜奇句报新晴.<br>今宵绝胜无人共，卧看星河尽意明。
咏牡丹,陈与义〔宋代〕,一自胡尘入汉关，十年伊洛路漫漫.<br>青墩溪畔龙钟客，独立东风看牡丹。
池州翠微亭,岳飞〔宋代〕,经年尘土满征衣，特特寻芳上翠微.<br>好水好山看不足，马蹄催趁月明归。
樵夫,萧德藻〔宋代〕,一担干柴古渡头，盘缠一日颇优游.<br>归来涧底磨刀斧，又作全家明日谋。
临安春雨初霁,陆游〔宋代〕,世味年来薄似纱，谁令骑马客京华.<br>小楼一夜听春雨，深巷明朝卖杏花.<br>矮纸斜行闲作草，晴窗细乳戏分茶.<br>素衣莫起风尘叹，犹及清明可到家。
金错刀行,陆游〔宋代〕,黄金错刀白玉装，夜穿窗扉出光芒.<br>丈夫五十功未立，提刀独立顾八荒.<br>京华结交尽奇士，意气相期共生死.<br>千年史册耻无名，一片丹心报天子.<br>尔来从军天汉滨，南山晓雪玉嶙峋.<br>呜呼！楚虽三户能亡秦，岂有堂堂中国空无人！
剑门道中遇微雨,陆游〔宋代〕,衣上征尘杂酒痕，远游无处不消魂.<br>此身合是诗人未？细雨骑驴入剑门。
梅花绝句二首·其一,陆游〔宋代〕,闻道梅花坼晓风，雪堆遍满四山中.<br>何方可化身千亿，一树梅前一放翁。
示儿,陆游〔宋代〕,死去元知万事空，但悲不见九州同.<br>王师北定中原日，家祭无忘告乃翁。
十一月四日风雨大作二首,陆游〔宋代〕,风卷江湖雨暗村，四山声作海涛翻.<br>溪柴火软蛮毡暖，我与狸奴不出门.<br>僵卧孤村不自哀，尚思为国戍轮台.<br>夜阑卧听风吹雨，铁马冰河入梦来。
书愤,陆游〔宋代〕,早岁那知世事艰，中原北望气如山.<br>楼船夜雪瓜洲渡，铁马秋风大散关.<br>塞上长城空自许，镜中衰鬓已先斑.<br>出师一表真名世，千载谁堪伯仲间！
病起书怀,陆游〔宋代〕,病骨支离纱帽宽，孤臣万里客江干.<br>位卑未敢忘忧国，事定犹须待阖棺.<br>天地神灵扶庙社，京华父老望和銮.<br>出师一表通今古，夜半挑灯更细看。
秋夜将晓出篱门迎凉有感二首,陆游〔宋代〕,迢迢天汉西南落，喔喔邻鸡一再鸣.<br>壮志病来消欲尽，出门搔首怆平生.<br>三万里河东入海，五千仞岳上摩天.<br>遗民泪尽胡尘里，南望王师又一年。
四时田园杂兴·其二十五,范成大〔宋代〕,梅子金黄杏子肥，麦花雪白菜花稀.<br>日长篱落无人过，惟有蜻蜓蛱蝶飞。
横塘,范成大〔宋代〕,南浦春来绿一川，石桥朱塔两依然.<br>年年送客横塘路，细雨垂杨系画船。
州桥,范成大〔宋代〕,南望朱雀门，北望宣德楼，皆旧御路也.<br>州桥南北是天街，父老年年等驾回.<br>忍泪失声询使者，几时真有六军来？
三江小渡,杨万里〔宋代〕,溪水将桥不复回，小舟犹倚短篙开.<br>交情得似山溪渡，不管风波去又来。
舟过安仁,杨万里〔宋代〕,一叶渔船两小童，收篙停棹坐船中.<br>怪生无雨都张伞，不是遮头是使风。
初入淮河四绝句·其三,杨万里〔宋代〕,两岸舟船各背驰，波痕交涉亦难为.<br>只余鸥鹭无拘管，北去南来自在飞。
小池,杨万里〔宋代〕,泉眼无声惜细流，树阴照水爱晴柔.<br>小荷才露尖尖角，早有蜻蜓立上头。
晓出净慈寺送林子方,杨万里〔宋代〕,毕竟西湖六月中，风光不与四时同.<br>接天莲叶无穷碧，映日荷花别样红。
宿新市徐公店,杨万里〔宋代〕,篱落疏疏一径深，树头新绿未成阴.<br>儿童急走追黄蝶，飞入菜花无处寻。
题临安邸,林升〔宋代〕,山外青山楼外楼，西湖歌舞几时休？暖风熏得游人醉，直把杭州作汴州。
观书有感·其二,朱熹〔宋代〕,昨夜江边春水生，蒙冲巨舰一毛轻.<br>向来枉费推移力，此日中流自在行。
春日,朱熹〔宋代〕,胜日寻芳泗水滨，无边光景一时新.<br>等闲识得东风面，万紫千红总是春。
立春偶成,张栻〔宋代〕,律回岁晚冰霜少，春到人间草木知.<br>便觉眼前生意满，东风吹水绿参差。
除放自石湖归苕溪,姜夔〔宋代〕,美人台上昔欢娱，今日空台望五湖.<br>残雪未融青草死，苦无麋鹿过姑苏.<br>黄帽传呼睡不成，投篙细细激流冰.<br>分明旧泊江南岸，舟尾春风飐客灯.<br>千门列炬散林鸦，儿女相思未到家.<br>应是不眠非守岁，小客春意入灯花.<br>三生定自陆天随，又向顺松作客归.<br>已拚新年舟上过，倩人和雪洗片衣.<br>沙尾风回一棹寒，椒花今夕不登盘.<br>百年草草都寒夜，自琢春词剪烛看.<br>笠泽茫茫雁影微，玉峰重叠护云衣.<br>长桥寂寞春寒放，只有诗人一舸归.<br>桑间篝火却定蚕，风土相传我未谙.<br>但得明年少行役，只裁白伫作春衫.<br>少小知名翰墨场，十年心事只凄凉.<br>旧时曾作梅花赋，研墨于今亦自香.<br>环玦随波冷未销，古苔留雪卧墙腰.<br>谁家玉笛吹春怨，看见鹅黄上柳条。
过垂虹,姜夔〔宋代〕,自作新词韵最娇，小红低唱我吹箫.<br>曲终过尽松陵路，回首烟波十四桥。
新凉,徐玑〔宋代〕,水满田畴稻叶齐，日光穿树晓烟低.<br>黄莺也爱新凉好，飞过青山影里啼。
约客,赵师秀〔宋代〕,黄梅时节家家雨，青草池塘处处蛙.<br>有约不来过夜半，闲敲棋子落灯花。
乡村四月,翁卷〔宋代〕,绿遍山原白满川，子规声里雨如烟.<br>乡村四月闲人少，才了蚕桑又插田。
江村晚眺,戴复古〔宋代〕,江头落日照平沙，潮退渔船阁岸斜.<br>白鸟一双临水立，见人惊起入芦花。
淮村兵后,戴复古〔宋代〕,小桃无主自开花，烟草茫茫带晚鸦.<br>几处败垣围故井，向来一一是人家。
游园不值,叶绍翁〔宋代〕,应怜屐齿印苍苔，小扣柴扉久不开.<br>春色满园关不住，一枝红杏出墙来。
落梅,刘克庄〔宋代〕,一片能教一断肠，可堪平砌更堆墙.<br>飘如迁客来过岭，坠似骚人去赴湘.<br>乱点莓苔多莫数，偶粘衣袖久犹香.<br>东风谬掌花权柄，却忌孤高不主张。
莺梭,刘克庄〔宋代〕,掷柳迁乔太有情，交交时作弄机声.<br>洛阳三月花如锦，多少工夫织得成。
初夏游张园,戴复古〔宋代〕,乳鸭池塘水浅深，熟梅天气半阴晴.<br>东园载酒西园醉，摘尽枇杷一树金。
春暮,曹豳〔宋代〕,门外无人问落花，绿阴冉冉遍天涯.<br>林莺啼到无声处，青草池塘独听蛙。
绝句,志南〔宋代〕,古木阴中系短篷，杖藜扶我过桥东.<br>沾衣欲湿杏花雨，吹面不寒杨柳风。
过零丁洋,文天祥〔宋代〕,辛苦遭逢起一经，干戈寥落四周星.<br>山河破碎风飘絮，身世浮沉雨打萍.<br>惶恐滩头说惶恐，零丁洋里叹零丁.<br>人生自古谁无死？留取丹心照汗青。
二砺,郑思肖〔宋代〕,愁里高歌梁父吟，犹如金玉戛商音.<br>十年勾践亡吴计，七日包胥哭楚心.<br>秋送新鸿哀破国，昼行饥虎齧空林.<br>胸中有誓深于海，肯使神州竟陆沉？
寒菊,郑思肖〔宋代〕,花开不并百花丛，独立疏篱趣未穷.<br>宁可枝头抱香死，何曾吹落北风中。
寒夜,杜耒〔宋代〕,寒夜客来茶当酒，竹炉汤沸火初红.<br>寻常一样窗前月，才有梅花便不同。
雪梅,卢钺〔宋代〕,梅雪争春未肯降，骚人阁笔费评章.<br>梅须逊雪三分白，雪却输梅一段香。
武夷山中,谢枋得〔宋代〕,十年无梦得还家，独立青峰野水涯.<br>天地寂寥山雨歇，几生修得到梅花？
月儿弯弯照九州,佚名〔宋代〕,月儿弯弯照九州，几家欢乐几家愁.<br>几家夫妇同罗帐，几个飘零在外头？
绝句,王庭筠〔金朝〕,竹影和诗瘦，梅花入梦香.<br>可怜今夜月，不肯下西厢。
台山杂咏,元好问〔金朝〕,西北天低五顶高，茫茫松海露灵鳌.<br>太行直上犹千里，井底残山枉呼号.<br>万壑千岩位置雄，偶从天巧见神功.<br>湍溪已作风雷恶，更在云山气象中.<br>山云吞吐翠微中，淡绿深青一万重.<br>此景只应天上有，岂知身在妙高峰？
壬辰十二月车驾东狩后即事二首,元好问〔金朝〕,惨澹龙蛇日斗争，干戈直欲尽生灵.<br>高原水出山河改，战地风来草木腥.<br>精卫有冤填瀚海，包胥无泪哭秦庭.<br>并州豪杰知谁在，莫拟分军下井陉.<br>万里荆襄入战尘，汴州门外即荆榛.<br>蛟龙岂是池中物？虮虱空悲地上臣.<br>乔木他年怀故国，野烟何处望行人？秋风不用吹华发，沧海横流要此身。
同儿辈赋未开海棠·其二,元好问〔金朝〕,枝间新绿一重重， 小蕾深藏数点红.<br>爱惜芳心莫轻吐， 且教桃李闹春风。
博浪沙,陈孚〔元代〕,一击车中胆气豪，祖龙社稷已惊摇.<br>如何十二金人外，犹有人间铁未销。
山家,刘因〔元代〕,马蹄踏水乱明霞，醉袖迎风受落花.<br>怪见溪童出门望，鹊声先我到山家。
东城,赵孟頫〔元代〕,野店桃花红粉姿，陌头杨柳绿烟丝.<br>不因送客东城去，过却春光总不知。
临平泊舟,黄庚〔元代〕,客舟系缆柳阴旁，湖影侵篷夜气凉.<br>万顷波光摇月碎，一天风露藕花香。
到京师,杨载〔元代〕,城雪初消荠菜生，角门深巷少人行.<br>柳梢听得黄鹂语，此是春来第一声。
院中独坐,虞集〔元代〕,何处它年寄此生，山中江上总关情.<br>无端绕屋长松树，尽把风声作雨声。
画鸭,揭傒斯〔元代〕,春草细还生，春雏养渐成.<br>茸茸毛色起，应解自呼名。
墨梅,王冕〔元代〕,我家洗砚池头树，朵朵花开淡墨痕.<br>不要人夸好颜色，只留清气满乾坤。
湖上,徐元杰〔宋代〕,花开红树乱莺啼，草长平湖白鹭飞.<br>风日晴和人意好，夕阳箫鼓几船归。
上京即事五首·其三,萨都剌〔元代〕,牛羊散漫落日下，野草生香乳酪甜.<br>卷地朔风沙似雪，家家行帐下毡帘。
京师得家书,袁凯〔明代〕,江水三千里，家书十五行.<br>行行无别语，只道早还乡。
天平山中,杨基〔明代〕,细雨茸茸湿楝花，南风树树熟枇杷；徐行不记山深浅，一路莺啼送到家。
春暮西园,高启〔明代〕,绿池芳草满晴波，春色都从雨里过.<br>知是人家花落尽，菜畦今日蝶来多。
寻胡隐君,高启〔明代〕,渡水复渡水，看花还看花.<br>春风江上路，不觉到君家。
春雁,王恭〔明代〕,春风一夜到衡阳，楚水燕山万里长.<br>莫怪春来便归去，江南虽好是他乡。
发淮安,杨士奇〔明代〕,岸蓼疏红水荇青，茨菰花白小如萍.<br>双鬟短袖惭人见，背立船头自采菱。
幼女词,毛铉〔明代〕,下床着新衣，初学小姑拜.<br>低头羞见人，双手结裙带。
乡人至夜话,李昌祺〔明代〕,形容不识识乡音，挑尽寒灯到夜深.<br>故旧凭君休更说，老怀容易便沾襟。
石灰吟,于谦〔明代〕,千锤万凿出深山，烈火焚烧若等闲.<br>粉骨碎身浑不怕，要留清白在人间。
题画,沈周〔明代〕,碧水丹山映杖藜，夕阳犹在小桥西.<br>微吟不道惊溪鸟，飞入乱云深处啼。
柯敬仲墨竹,李东阳〔明代〕,莫将画竹论难易，刚道繁难简更难.<br>君看萧萧只数叶，满堂风雨不胜寒。
言志,唐寅〔明代〕,不炼金丹不坐禅，不为商贾不耕田.<br>闲来写就青山卖，不使人间造孽钱。
船板床,李梦阳〔明代〕,船板胡在兹，而我寝其上.<br>情知非江湖，梦寐亦风浪。
在武昌作,徐祯卿〔明代〕,洞庭叶未下，潇湘秋欲生.<br>高斋今夜雨，独卧武昌城.<br>重以桑梓念，凄其江汉情.<br>不知天外雁，何事乐长征？
重赠吴国宾,边贡〔明代〕,汉江明月照归人，万里秋风一叶身.<br>休把客衣轻浣濯，此中犹有帝京尘。
竹枝词,何景明〔明代〕,十二峰头秋草荒，冷烟寒月过瞿塘.<br>青枫江上孤舟客，不听猿声亦断肠。
出郊,杨慎〔明代〕,高田如楼梯，平田如棋局.<br>白鹭忽飞来，点破秧针绿。
塞下曲,谢榛〔明代〕,暝色满西山，将军猎骑还.<br>隔河见烽火，骄虏夜临关。
塞上曲送元美,李攀龙〔明代〕,白羽如霜出塞寒，胡烽不断接长安.<br>城头一片西山月，多少征人马上看。
就义诗,杨继盛〔明代〕,浩气还太虚，丹心照千古.<br>生平未报国，留作忠魂补。
题葡萄图,徐渭〔明代〕,半生落魄已成翁，独立书斋啸晚风.<br>笔底明珠无处卖，闲抛闲掷野藤中。
马上作,戚继光〔明代〕,南北驱驰报主情，江花边月笑平生.<br>一年三百六十日，多是横戈马上行。
今日歌,文嘉〔明代〕,今日复今日，今日何其少！今日又不为，此事何时了？人生百年几今日，今日不为真可惜！若言姑待明朝至，明朝又有明朝事.<br>为君聊赋今日诗，努力请从今日始。
枕石,高攀龙〔明代〕,心同流水净，身与白云轻.<br>寂寂深山暮，微闻钟磬声。
感事,袁宏道〔明代〕,湘山晴色远微微，尽日江头独醉归.<br>不见两关传露布，尚闻三殿未垂衣.<br>边筹自古无中下，朝论于今有是非.<br>日暮平沙秋草乱，一双白鸟避人飞。
江宿,汤显祖〔明代〕,寂历秋江渔火稀，起看残月映林微.<br>波光水鸟惊犹宿，露冷流萤湿不飞。
渡易水,陈子龙〔明代〕,并刀昨夜匣中鸣，燕赵悲歌最不平；易水潺湲云草碧，可怜无处送荆卿！
即事三首,夏完淳〔明代〕,复楚情何极，亡秦气未平.<br>雄风清角劲，落日大旗明.<br>缟素酬家国，戈船决死生！胡笳千古恨，一片月临城.<br>战苦难酬国，仇深敢忆家？一身存汉腊，满目尽胡沙.<br>落月翻旗影，清霜冷剑花.<br>六军浑散尽，半夜起悲笳.<br>一旅同仇谊，三秋故主怀.<br>将星沉左辅，卿月隐中台.<br>东阁尘宾幕，西征愧赋才.<br>月明笳鼓切，今夜为谁哀。
别云间,夏完淳〔明代〕,三年羁旅客，今日又南冠.<br>无限山河泪，谁言天地宽.<br>已知泉路近，欲别故乡难.<br>毅魄归来日，灵旗空际看。
闯王,佚名〔明代〕,朝求升，暮求合，近来贫汉难存活.<br>早早开门拜闯王，管教大小都欢悦.<br>杀牛羊，备酒浆，开了城门迎闯王，闯王来了不纳粮.<br>吃他娘，着她娘，吃着不够有闯王.<br>不当差，不纳粮，大家快活过一场。
阻雪,吴伟业〔清代〕,关山虽胜路难堪，才上征鞍又解骖.<br>十丈黄尘千尺雪，可知俱不似江南。
闻鹧鸪,尤侗〔清代〕,鹧鸪声里夕阳西，陌上征人首尽低.<br>遍地关山行不得，为谁辛苦尽情啼？
出居庸关,朱彝尊〔清代〕,居庸关上子规啼，饮马流泉落日低.<br>雨雪自飞千嶂外，榆林只隔数峰西。
真州绝句,王士祯〔清代〕,江干多是钓人居，柳陌菱塘一带疏.<br>好是日斜风定后，半江红树卖鲈鱼。
过湖北山家,施闰章〔清代〕,路回临石岸，树老出墙根.<br>野水合诸涧，桃花成一村.<br>呼鸡过篱栅，行酒尽儿孙.<br>老矣吾将隐，前峰恰对门。
自湘东驿遵陆至芦溪,查慎行〔清代〕,黄花古渡接芦溪，行过萍乡路渐低.<br>吠犬鸣鸡村远近，乳鹅新鸭岸东西.<br>丝缫细雨沾衣润，刀剪良苗出水齐.<br>犹与湖南风土近，春深无处不耕犁。
舟夜书所见,查慎行〔清代〕,月黑见渔灯，孤光一点萤.<br>微微风簇浪，散作满河星。
过许州,沈德潜〔清代〕,到处陂塘决决流，垂杨百里罨平畴.<br>行人便觉须眉绿，一路蝉声过许州。
秣陵怀古,纳兰性德〔清代〕,山色江声共寂寥，十三陵树晚萧萧.<br>中原事业如江左，芳草何须怨六朝。
萤火,赵执信〔清代〕,和雨还穿户，经风忽过墙.<br>虽缘草成质，不借月为光.<br>解识幽人意，请今聊处囊.<br>君看落空阔，何异大星芒。
灵隐寺月夜,厉鹗〔清代〕,夜寒香界白，涧曲寺门通.<br>月在众峰顶，泉流乱叶中.<br>一灯群动息，孤磬四天空.<br>归路畏逢虎，况闻岩下风。
竹石,郑燮〔清代〕,咬定青山不放松，立根原在破岩中.<br>千磨万击还坚劲，任尔东西南北风。
山中雪后,郑燮〔清代〕,晨起开门雪满山，雪晴云淡日光寒.<br>檐流未滴梅花冻，一种清孤不等闲。
渔家·卖得鲜鱼二百钱,郑燮〔清代〕,卖得鲜鱼二百钱，籴粮炊饭放归船.<br>拔来湿苇烧难着，晒在垂杨古岸边。
偶然作,屈复〔清代〕,百金买骏马，千金买美人；万金买高爵，何处买青春？
岁暮到家,蒋士铨〔清代〕,爱子心无尽，归家喜及辰.<br>寒衣针线密，家信墨痕新.<br>见面怜清瘦，呼儿问苦辛.<br>低徊愧人子，不敢叹风尘。
马嵬,袁枚〔清代〕,莫唱当年长恨歌，人间亦自有银河.<br>石壕村里夫妻别，泪比长生殿上多。
夜过借园见主人坐月下吹笛,袁枚〔清代〕,秋夜访秋士，先闻水上音.<br>半天凉月色，一笛酒人心.<br>响遏碧云近，香传红藕深.<br>相逢清露下，流影湿衣襟。
山行杂咏,袁枚〔清代〕,十里崎岖半里平，一峰才送一峰迎.<br>青山似茧将人裹，不信前头有路行。
所见,袁枚〔清代〕,牧童骑黄牛，歌声振林樾.<br>意欲捕鸣蝉，忽然闭口立。
遣兴,袁枚〔清代〕,爱好由来下笔难，一诗千改始心安.<br>阿婆还似初笄女，头未梳成不许看。
富春至严陵山水甚佳,纪昀〔清代〕,浓似春云淡似烟，参差绿到大江边.<br>斜阳流水推篷坐，翠色随人欲上船。
论诗五首·其二,赵翼〔清代〕,李杜诗篇万口传，至今已觉不新鲜.<br>江山代有才人出，各领风骚数百年。
山行·布谷飞飞劝早耕,姚鼐〔清代〕,布谷飞飞劝早耕，舂锄扑扑趁春晴.<br>千层石树遥行路，一带山田放水声。
感旧四首,黄景仁〔清代〕,大道青楼望不遮，年时系马醉流霞.<br>风前带是同心结，杯底人如解语花.<br>下杜城边南北路，上阑门外去来车.<br>匆匆觉得扬州梦，检点闲愁在鬓华.<br>唤起窗前尚宿酲，啼鹃催去又声声.<br>丹青旧誓相如札，禅榻经时杜牧情.<br>别后相思空一水，重来回首已三生.<br>云阶月地依然在，细逐空香百遍行.<br>遮莫临行念我频，竹枝留涴泪痕新.<br>多缘刺史无坚约，岂视萧郎作路人.<br>望里彩云疑冉冉，愁边春水故粼粼.<br>珊瑚百尺珠千斛，难换罗敷未嫁身.<br>从此音尘各悄然，春山如黛草如烟.<br>泪添吴苑三更雨，恨惹邮亭一夜眠.<br>讵有青乌缄别句，聊将锦瑟记流年.<br>他时脱便微之过，百转千回只自怜。
别老母,黄景仁〔清代〕,搴帷拜母河梁去，白发愁看泪眼枯.<br>惨惨柴门风雪夜，此时有子不如无。
咏史,龚自珍〔清代〕,金粉东南十五州，万重恩怨属名流.<br>牢盆狎客操全算，团扇才人踞上游.<br>避席畏闻文字狱，著书都为稻粱谋.<br>田横五百人安在，难道归来尽列侯？
己亥杂诗·其五,龚自珍〔清代〕,浩荡离愁白日斜，吟鞭东指即天涯.<br>落红不是无情物，化作春泥更护花。
己亥杂诗,龚自珍〔清代〕,九州生气恃风雷，万马齐喑究可哀.<br>我劝天公重抖擞，不拘一格降人材。
村居,高鼎〔清代〕,草长莺飞二月天，拂堤杨柳醉春烟.<br>儿童散学归来早，忙趁东风放纸鸢。
画,王维〔唐代〕,远看山有色，近听水无声.<br>春去花还在，人来鸟不惊。
春愁,丘逢甲〔清代〕,春愁难遣强看山，往事惊心泪欲潸.<br>四百万人同一哭，去年今日割台湾。
狱中题壁,谭嗣同〔清代〕,望门投止思张俭，忍死须臾待杜根.<br>我自横刀向天笑，去留肝胆两昆仑。 
读陆放翁集·其一,梁启超〔近现代〕,诗界千年靡靡风，兵魂销尽国魂空.<br>集中什九从军乐，亘古男儿一放翁。
对酒,秋瑾〔近现代〕,不惜千金买宝刀，貂裘换酒也堪豪.<br>一腔热血勤珍重，洒去犹能化碧涛。
狱中赠邹容,章炳麟〔近现代〕,邹容吾小弟，被发下瀛州.<br>快剪刀除辫，干牛肉作餱.<br>英雄一入狱，天地亦悲秋.<br>临命须掺手，乾坤只两头！
